Holiday Name,Date,Year
New Year's Day,2022-01-01 00:00:00,2022
Epiphany,2022-01-06 00:00:00,2022
Good Friday,2022-04-15 00:00:00,2022
Easter Monday,2022-04-18 00:00:00,2022
Labour Day,2022-05-01 00:00:00,2022
Ascension Day,2022-05-26 00:00:00,2022
Whit Monday,2022-06-06 00:00:00,2022
Corpus Christi,2022-06-16 00:00:00,2022
German Unity Day,2022-10-03 00:00:00,2022
All Saints' Day,2022-11-01 00:00:00,2022
Christmas Day,2022-12-25 00:00:00,2022
Boxing Day,2022-12-26 00:00:00,2022
New Year's Day,2023-01-01 00:00:00,2023
Epiphany,2023-01-06 00:00:00,2023
Good Friday,2023-04-07 00:00:00,2023
Easter Monday,2023-04-10 00:00:00,2023
Labour Day,2023-05-01 00:00:00,2023
Ascension Day,2023-05-18 00:00:00,2023
Whit Monday,2023-05-29 00:00:00,2023
Corpus Christi,2023-06-08 00:00:00,2023
German Unity Day,2023-10-03 00:00:00,2023
All Saints' Day,2023-11-01 00:00:00,2023
Christmas Day,2023-12-25 00:00:00,2023
Boxing Day,2023-12-26 00:00:00,2023
New Year's Day,2024-01-01 00:00:00,2024
Epiphany,2024-01-06 00:00:00,2024
Good Friday,2024-03-29 00:00:00,2024
Easter Monday,2024-04-01 00:00:00,2024
Labour Day,2024-05-01 00:00:00,2024
Ascension Day,2024-05-09 00:00:00,2024
Whit Monday,2024-05-20 00:00:00,2024
Corpus Christi,2024-05-30 00:00:00,2024
German Unity Day,2024-10-03 00:00:00,2024
All Saints' Day,2024-11-01 00:00:00,2024
Christmas Day,2024-12-25 00:00:00,2024
Boxing Day,2024-12-26 00:00:00,2024
New Year's Day,2025-01-01 00:00:00,2025
Epiphany,2025-01-06 00:00:00,2025
Good Friday,2025-04-18 00:00:00,2025
Easter Monday,2025-04-21 00:00:00,2025
Labour Day,2025-05-01 00:00:00,2025
Ascension Day,2025-05-29 00:00:00,2025
Whit Monday,2025-06-09 00:00:00,2025
Corpus Christi,2025-06-19 00:00:00,2025
German Unity Day,2025-10-03 00:00:00,2025
All Saints' Day,2025-11-01 00:00:00,2025
Christmas Day,2025-12-25 00:00:00,2025
Boxing Day,2025-12-26 00:00:00,2025
